"Step","Status","ExitCode","Duration","Log"
"00 Check environment","OK","0","00:00:09.4519778","logs\00_check_environment.log"
"01C Add split metadata columns","OK","0","00:00:00.7847705","logs\01c_add_split_metadata.log"
"01D Validate split schema","OK","0","00:00:01.5940917","logs\01d_validate_split_schema.log"
"01 Validate no visual duplicates between splits","OK","0","00:00:16.7307196","logs\01_check_near_duplicates.log"
"02 Generate segmented dataset","OK","0","00:00:49.2370723","logs\02_generate_segmented_dataset.log"
"03 Extract features E2 original","OK","0","00:00:51.1961719","logs\03_extract_features_E2_original.log"
"03 Extract features E3 segmented","OK","0","00:00:43.2545759","logs\03_extract_features_E3_segmented.log"
"04 Train E0 baseline CNN","OK","0","00:08:32.7923141","logs\04_train_E0_baseline_cnn.log"
"04 Train E1 segmented CNN","OK","0","00:07:52.4124665","logs\04_train_E1_segmented_cnn.log"
"04 Train E2 CNN texture","OK","0","00:07:14.8732745","logs\04_train_E2_cnn_texture.log"
"04 Train E3 proposed segmented CNN texture batch 8","OK","0","00:08:09.8408494","logs\04_train_E3_proposed_batch8.log"
"04 Train E3 proposed segmented CNN texture retry batch 4","OK","0","00:17:33.5515039","logs\04_train_E3_proposed_batch4_retry.log"
